Check record,Record,Country,State,County,Location,Grid,Trail,Plot,Distance.begining,Side,Transect.length,N.subplots,sampling.protocol,Data(YYYYMMDD),Class,Order,Family,Subfamily,Genus,Taxon,cf,Frequency,LAT,LONG,easting (UTM),northing (UTM),Trophic.group,Observacao.variedade,Observacao,Coletor1,Determinador,Coletor2,Determinador
1315,1315,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,1500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Termes,Termes_ayri,,1,1.46866236,-61.01580683,NA,NA,,,,,,,
1316,1316,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,2500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Termes,Termes_ayri,,1,1.48667538,-61.02469369,NA,NA,,,,,,,
1317,1317,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1318,1318,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L5,500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.45044163,-61.00674819,NA,NA,,,,,,,
1319,1319,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,2500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.46860355,-61.02471575,NA,NA,,,,,,,
1320,1320,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1321,1321,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1322,1322,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.4414365,-61.00675157,NA,NA,,,,,,,
1323,1323,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,2500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.45951143,-61.02475447,NA,NA,,,,,,,
1324,1324,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.45941926,-61.00676175,NA,NA,,,,,,,
1325,1325,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,4500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,1.4414421,-61.04273254,NA,NA,,,,,,,
1326,1326,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,4500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_sp._1,,1,1.4414421,-61.04273254,NA,NA,,,,,,,
1327,1327,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,2500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_sp._1,,1,1.44146681,-61.02465846,NA,NA,,,,,,,
1328,1328,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,4500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_sp._1,,1,1.4414421,-61.04273254,NA,NA,,,,,,,
1329,1329,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,2500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Armitermes,Armitermes_holmgreni,,1,1.47762069,-61.02471641,NA,NA,,,,,,,
1330,1330,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_holmgreni,,1,1.47753531,-61.00672823,NA,NA,,,,,,,
1331,1331,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,2500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_holmgreni,,1,1.47762069,-61.02471641,NA,NA,,,,,,,
1332,1332,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,3500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_holmgreni,,1,1.46874553,-61.03374202,NA,NA,,,,,,,
1333,1333,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L5,4500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_holmgreni,,1,1.45051128,-61.04269727,NA,NA,,,,,,,
1334,1334,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,2500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_holmgreni,,1,1.45951143,-61.02475447,NA,NA,,,,,,,
1335,1335,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,500,80,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.45941926,-61.00676175,NA,NA,,,,,,,
1336,1336,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,80,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1337,1337,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L5,3500,230,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.45050799,-61.03371357,NA,NA,,,,,,,
1338,1338,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,1500,180,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.47750838,-61.01579919,NA,NA,,,,,,,
1339,1339,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,500,30,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.4414365,-61.00675157,NA,NA,,,,,,,
1340,1340,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,500,80,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.45941926,-61.00676175,NA,NA,,,,,,,
1341,1341,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,2500,180,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.44146681,-61.02465846,NA,NA,,,,,,,
1342,1342,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,230,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1343,1343,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,2500,80,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.44146681,-61.02465846,NA,NA,,,,,,,
1344,1344,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,2500,80,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Coptotermitinae,Coptotermes,Coptotermes_testaceus,,1,1.47762069,-61.02471641,NA,NA,,,,,,,
1345,1345,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_molestus,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1346,1346,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,3500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_molestus,,1,1.46874553,-61.03374202,NA,NA,,,,,,,
1347,1347,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,3500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_molestus,,1,1.46874553,-61.03374202,NA,NA,,,,,,,
1348,1348,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,2500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_molestus,,1,1.47762069,-61.02471641,NA,NA,,,,,,,
1349,1349,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_molestus,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1350,1350,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_molestus,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1351,1351,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,2500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Crepititermes,Crepititermes_verruculosus,,1,1.48667538,-61.02469369,NA,NA,,,,,,,
1352,1352,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,1500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Crepititermes,Crepititermes_verruculosus,,1,1.47750838,-61.01579919,NA,NA,,,,,,,
1353,1353,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,2500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Crepititermes,Crepititermes_verruculosus,,1,1.44146681,-61.02465846,NA,NA,,,,,,,
1354,1354,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Dentispicotermes,Dentispicotermes_sp._1,,1,1.4414365,-61.00675157,NA,NA,,,,,,,
1355,1355,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,1500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Dentispicotermes,Dentispicotermes_sp._1,,1,1.46866236,-61.01580683,NA,NA,,,,,,,
1356,1356,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,3500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Dentispicotermes,Dentispicotermes_sp._1,,1,1.46874553,-61.03374202,NA,NA,,,,,,,
1357,1357,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Angularitermes,Angularitermes_nasutissimus,,1,1.45941926,-61.00676175,NA,NA,,,,,,,
1358,1358,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L5,2500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Angularitermes,Angularitermes_nasutissimus,,1,1.45047852,-61.02471145,NA,NA,,,,,,,
1359,1359,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,2500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_angusticeps,,1,1.46860355,-61.02471575,NA,NA,,,,,,,
1360,1360,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,3500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_angusticeps,,1,1.46874553,-61.03374202,NA,NA,,,,,,,
1361,1361,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,1500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_sp._1,,1,1.46866236,-61.01580683,NA,NA,,,,,,,
1362,1362,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,1500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_sp._1,,1,1.46866236,-61.01580683,NA,NA,,,,,,,
1363,1363,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Amitermes,Amitermes_exellens,,1,1.4414365,-61.00675157,NA,NA,,,,,,,
1364,1364,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,1500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Amitermes,Amitermes_exellens,,1,1.4414559,-61.01562757,NA,NA,,,,,,,
1365,1365,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,4500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_taracua,,1,1.4414421,-61.04273254,NA,NA,,,,,,,
1366,1366,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_talpoides,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1367,1367,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L5,500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Armitermes,Armitermes_peruanus,,1,1.45044163,-61.00674819,NA,NA,,,,,,,
1368,1368,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_spinosus,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1369,1369,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,1500,230,,250,5,manual,2012,Insecta,Isoptera,Rhinotermitidae,Rhinotermitinae ,Rhinotermes,Rhinotermes_hispidus,,1,1.4414559,-61.01562757,NA,NA,,,,,,,
1370,1370,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,1500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Syntermes,Syntermes_sp._2,,1,1.48666767,-61.01570713,NA,NA,,,,,,,
1371,1371,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,4500,230,,250,5,manual,2012,Insecta,Isoptera,Kalotermitidae,NA,Neotermes,Neotermes_sp._1,,1,1.4595586,-61.04275871,NA,NA,,,,,,,
1372,1372,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,1500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Cornicapritermes,Cornicapritermes_sp._2,,1,1.48666767,-61.01570713,NA,NA,,,,,,,
1373,1373,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Syntermitinae,Cornitermes,Cornitermes_pugnax,,1,1.45941926,-61.00676175,NA,NA,,,,,,,
1374,1374,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Termitinae,Planicapritermes,Planicapritermes_planiceps,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1375,1375,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,4500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Velocitermes,Velocitermes_sp._2,,1,1.46861878,-61.04273606,NA,NA,,,,,,,
1376,1376,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,4500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Velocitermes,Velocitermes_sp._2,,1,1.4595586,-61.04275871,NA,NA,,,,,,,
1377,1377,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,4500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_banksi,,1,1.4595586,-61.04275871,NA,NA,,,,,,,
1378,1378,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,1500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_surinamensis,,1,1.4414559,-61.01562757,NA,NA,,,,,,,
1379,1379,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_surinamensis,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1380,1380,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,1500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_surinamensis,,1,1.46866236,-61.01580683,NA,NA,,,,,,,
1381,1381,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_surinamensis,,1,1.47753531,-61.00672823,NA,NA,,,,,,,
1382,1382,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,3500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_ephratae,,1,1.45953677,-61.03374874,NA,NA,,,,,,,
1383,1383,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_ephratae,,1,1.46862055,-61.00672463,NA,NA,,,,,,,
1384,1384,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_ephratae,,1,1.47753531,-61.00672823,NA,NA,,,,,,,
1385,1385,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,4500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_ephratae,,1,1.4595586,-61.04275871,NA,NA,,,,,,,
1386,1386,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_macrocephalus,cf.,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1387,1387,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_macrocephalus,cf.,1,1.45941926,-61.00676175,NA,NA,,,,,,,
1388,1388,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,2500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Velocitermes,Velocitermes_sp._1,,1,1.46860355,-61.02471575,NA,NA,,,,,,,
1389,1389,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_corniger,,1,1.47753531,-61.00672823,NA,NA,,,,,,,
1390,1390,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,2500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_corniger,,1,1.46860355,-61.02471575,NA,NA,,,,,,,
1391,1391,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_corniger,,1,1.47753531,-61.00672823,NA,NA,,,,,,,
1392,1392,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,2500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_corniger,,1,1.46860355,-61.02471575,NA,NA,,,,,,,
1393,1393,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L5,500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_corniger,,1,1.45044163,-61.00674819,NA,NA,,,,,,,
1394,1394,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_corniger,,1,1.47753531,-61.00672823,NA,NA,,,,,,,
1395,1395,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L5,500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_callimorphus,,1,1.45044163,-61.00674819,NA,NA,,,,,,,
1396,1396,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,3500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_callimorphus,,1,1.46874553,-61.03374202,NA,NA,,,,,,,
1397,1397,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.46862055,-61.00672463,NA,NA,,,,,,,
1398,1398,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,1500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.47750838,-61.01579919,NA,NA,,,,,,,
1399,1399,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,1500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.46866236,-61.01580683,NA,NA,,,,,,,
1400,1400,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,2500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.45951143,-61.02475447,NA,NA,,,,,,,
1401,1401,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,4500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4414421,-61.04273254,NA,NA,,,,,,,
1402,1402,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,4500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4414421,-61.04273254,NA,NA,,,,,,,
1403,1403,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,1500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.47750838,-61.01579919,NA,NA,,,,,,,
1404,1404,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4414365,-61.00675157,NA,NA,,,,,,,
1405,1405,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,4500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4414421,-61.04273254,NA,NA,,,,,,,
1406,1406,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4414365,-61.00675157,NA,NA,,,,,,,
1407,1407,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,2500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.46860355,-61.02471575,NA,NA,,,,,,,
1408,1408,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1409,1409,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,1500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.48666767,-61.01570713,NA,NA,,,,,,,
1410,1410,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,30,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1411,1411,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L1,500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4866602,-61.00672108,NA,NA,,,,,,,
1412,1412,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,2500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.46860355,-61.02471575,NA,NA,,,,,,,
1413,1413,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L2,2500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.47762069,-61.02471641,NA,NA,,,,,,,
1414,1414,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.46862055,-61.00672463,NA,NA,,,,,,,
1415,1415,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,2500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.44146681,-61.02465846,NA,NA,,,,,,,
1416,1416,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,130,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1417,1417,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,1500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.45950164,-61.01578701,NA,NA,,,,,,,
1418,1418,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,2500,180,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.45951143,-61.02475447,NA,NA,,,,,,,
1419,1419,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L6,1500,80,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.4414559,-61.01562757,NA,NA,,,,,,,
1420,1420,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L4,2500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.45951143,-61.02475447,NA,NA,,,,,,,
1421,1421,Brasil,Roraima,Caracarai,BR_174,ParnaVirua,L3,500,230,,250,5,manual,2012,Insecta,Isoptera,Termitidae,Nasutitermitinae,Nasutitermes,Nasutitermes_guayanae,,1,1.46862055,-61.00672463,NA,NA,,,,,,,
